emailzooitje
"Oosten, F. van (VVD) <f.voosten@tweedekamer.nl>"
"Ouwehand, E.  (PvdD) <esther.ouwehand@tweedekamer.nl>"
"Özdil, Z.  (GL) <z.ozdil@tweedekamer.nl>"
"Öztürk, S.  (DENK) <s.ozturk@tweedekamer.nl>"
"Özütok, N.  (GL) <n.ozutok@tweedekamer.nl>"
"Paternotte, J.M.  (D66) <j.paternotte@tweedekamer.nl>"
"Peters, W.P.H.J.  (CDA) <r.peters@tweedekamer.nl>"
"Ploumen, E.M.J.  (PvdA) <l.ploumen@tweedekamer.nl>"
"Popken, G.J.F.  (PVV) <g.popken@tweedekamer.nl>"
"Raak, A.A.G.M. van (SP) <rvraak@sp.nl>"
"Raan, L. van (PvdD) <Lammert.vanraan@tweedekamer.nl>"
"Raemakers, R.  (D66) <r.raemakers@tweedekamer.nl>"
"Renkema, W.J.T.  (GL) <w.renkema@tweedekamer.nl>"
"Rog, M.R.J.  (CDA) <m.rog@tweedekamer.nl>"
"Ronnes, H.A.G.  (CDA) <E.Ronnes@Tweedekamer.nl>"
"Rooijen, M.J. van (50PLUS) <m.vrooijen@tweedekamer.nl>"
"Roon, R. de (PVV) <r.deroon@tweedekamer.nl>"
"Rutte, A.C.L.  (VVD) <a.rutte@tweedekamer.nl>"
"Schonis, R.A.J.  (D66) <r.schonis@tweedekamer.nl>"
"Segers, G.J.M.  (CU) <g.segers@tweedekamer.nl>"
"Sienot, M.F.  (D66) <m.sienot@tweedekamer.nl>"
"Sjoerdsma, S.W.  (D66) <s.sjoerdsma@tweedekamer.nl>"
"Slootweg, E.J.  (CDA) <e.slootweg@tweedekamer.nl>"
"Smeulders, P.H.M.  (GL) <GEEN EMAIL GEVONDEN>"
"Sneller, J.C.  (D66) <j.sneller@tweedekamer.nl>"
"Snels, B.A.W.  (GL) <b.snels@tweedekamer.nl>"
"Staaij, C.G. van der (SGP) <C.vdStaaij@tweedekamer.nl>"
"Stoffer, C.  (SGP) <c.stoffer@tweedekamer.nl>"
"Tellegen, O.C.  (VVD) <Secretariaat.Tellegen@tweedekamer.nl>"
"Thieme, M.L.  (PvdD) <marianne.thieme@tweedekamer.nl>"
"Tielen, J.Z.C.M.  (VVD) <j.tielen@tweedekamer.nl>"
"Toorenburg, M.M. van (CDA) <m.vtoorenburg@tweedekamer.nl>"
"Veldman, H.S.  (VVD) <h.veldman@tweedekamer.nl>"
"Verhoeven, K.  (D66) <k.verhoeven@tweedekamer.nl>"
"Voordewind, J.S.  (CU) <j.voordewind@tweedekamer.nl>"
"Vries, A. de (VVD) <aukjedevries@tweedekamer.nl>"
"Wassenberg, F.P.  (PvdD) <Frank.wassenberg@tweedekamer.nl>"
"Weerdenburg, V.D.D. van (PVV) <d.vanweerdenburg@tweedekamer.nl>"
"Westerveld, E.M.  (GL) <l.westerveld@tweedekamer.nl>"
"Weverling, A.  (VVD) <a.weverling@tweedekamer.nl>"
"Weyenberg, S.P.R.A. van (D66) <s.vweyenberg@tweedekamer.nl>"
"Wiersma, A.D.  (VVD) <d.wiersma@tweedekamer.nl>"
"Wilders, G.  (PVV) <g.wilders@tweedekamer.nl>"
"Wörsdörfer, M.  (VVD) <m.worsdorfer@tweedekamer.nl>"
"Wout, B. van 't (VVD) <b.vtwout@tweedekamer.nl>"
"Yeşilgöz-Zegerius, D.  (VVD) <d.yesilgoz@tweedekamer.nl>"
"Ziengs, E.  (VVD) <e.ziengs@tweedekamer.nl>"
"Boss, Martin (TECH) <boss.martin@gmail.com>"
"Good, Mullet (HR) <good.mullet@hotmail.com>"
"Gentle, Llama (HR) <gentle.llama@maastrichtuniversity.nl>"
"Neat, Corgi (TECH) <neat.corgi@zuyd.nl>"
"Star, Mantis (MOONSHOTS) <star.mantis@gmail.com>"
"Trusty, Boar (HR) <trusty.boar@hotmail.com>"
"Wired, Fish (MOONSHOTS) <wired.fish@hotmail.com>"
"Unique, Skink (TECH) <unique.skink@maastrichtuniversity.nl>"
"Model, Mammal (TECH) <model.mammal@gmail.com>"
"Happy, Minnow (MOONSHOTS) <happy.minnow@hotmail.com>"
"Flying, Gibbon (FINANCE) <flying.gibbon@gmail.com>"
"Brief, Flea (HR) <brief.flea@yahoo.com>"
"Usable, Worm (HR) <usable.worm@gmail.com>"
"Better, Owl (HR) <better.owl@gmail.com>"
"Enough, Cat (FINANCE) <enough.cat@maastrichtuniversity.nl>"
"Well, Satyr (HR) <well.satyr@gmail.com>"
"Fine, Teal (FINANCE) <fine.teal@gmail.com>"
"Actual, Bear (MOONSHOTS) <actual.bear@gmail.com>"
"Still, Ghost (FINANCE) <still.ghost@hotmail.com>"
"Cuddly, Impala (HR) <cuddly.impala@zuyd.nl>"
"Mutual, Skunk (TECH) <mutual.skunk@yahoo.com>"
"Worthy, Dodo (HR) <worthy.dodo@gmail.com>"
"Proven, Teal (TECH) <proven.teal@hotmail.com>"
"Fair, Cub (HR) <fair.cub@yahoo.com>"
"Helped, Mayfly (TECH) <helped.mayfly@hotmail.com>"
"Civil, Badger (FINANCE) <civil.badger@gmail.com>"
"Fit, Martin (TECH) <fit.martin@hotmail.com>"
"Fresh, Koala (FINANCE) <fresh.koala@maastrichtuniversity.nl>"
"Unique, Chow (HR) <unique.chow@gmail.com>"
"Golden, Skink (HR) <golden.skink@hotmail.com>"
"Amazed, Dane (FINANCE) <amazed.dane@gmail.com>"
"Choice, Gar (TECH) <choice.gar@zuyd.nl>"
"Direct, Swine (HR) <direct.swine@maastrichtuniversity.nl>"
"Saved, Zebra (TECH) <saved.zebra@maastrichtuniversity.nl>"
"Proper, Gibbon (HR) <proper.gibbon@maastrichtuniversity.nl>"
"In, Gnat (MOONSHOTS) <in.gnat@maastrichtuniversity.nl>"
"Aware, Perch (TECH) <aware.perch@gmail.com>"
"Proven, Bengal (FINANCE) <proven.bengal@yahoo.com>"
"Legal, Possum (HR) <legal.possum@maastrichtuniversity.nl>"
"Finer, Goat (TECH) <finer.goat@maastrichtuniversity.nl>"
"Sweet, Mammal (FINANCE) <sweet.mammal@hotmail.com>"
"Vocal, Dove (HR) <vocal.dove@hotmail.com>"
"Easy, Toucan (TECH) <easy.toucan@maastrichtuniversity.nl>"
"Equal, Maggot (FINANCE) <equal.maggot@maastrichtuniversity.nl>"
"Rich, Akita (FINANCE) <rich.akita@gmail.com>"
"Top, Eel (MOONSHOTS) <top.eel@yahoo.com>"
"Above, Badger (TECH) <above.badger@hotmail.com>"
"First, Squid (TECH) <first.squid@hotmail.com>"
"Noble, Cod (FINANCE) <noble.cod@hotmail.com>"
"Heroic, Oyster (HR) <heroic.oyster@maastrichtuniversity.nl>"
"Ready, Alien (TECH) <ready.alien@gmail.com>"
"Pretty, Pup (HR) <pretty.pup@maastrichtuniversity.nl>"
"Major, Kiwi (FINANCE) <major.kiwi@maastrichtuniversity.nl>"
"Wanted, Rat (HR) <wanted.rat@maastrichtuniversity.nl>"
"Direct, Toucan (FINANCE) <direct.toucan@maastrichtuniversity.nl>"
"Big, Colt (HR) <big.colt@zuyd.nl>"
"Actual, Cattle (HR) <actual.cattle@gmail.com>"
"Fluent, Horse (FINANCE) <fluent.horse@gmail.com>"
"Giving, Lark (TECH) <giving.lark@hotmail.com>"
"Epic, Filly (TECH) <epic.filly@hotmail.com>"
"Rare, Guppy (TECH) <rare.guppy@gmail.com>"
"Upward, Wasp (HR) <upward.wasp@zuyd.nl>"
"Smooth, Grouse (MOONSHOTS) <smooth.grouse@gmail.com>"
"Pure, Beetle (HR) <pure.beetle@hotmail.com>"
"Glad, Toad (FINANCE) <glad.toad@gmail.com>"
"Suited, Asp (HR) <suited.asp@maastrichtuniversity.nl>"
"Living, Serval (FINANCE) <living.serval@gmail.com>"
"Smart, Tapir (HR) <smart.tapir@gmail.com>"
"Picked, Poodle (HR) <picked.poodle@hotmail.com>"
"Humble, Seal (FINANCE) <humble.seal@gmail.com>"
"Dear, Frog (HR) <dear.frog@gmail.com>"
"Guided, Llama (HR) <guided.llama@maastrichtuniversity.nl>"
"Well, Rabbit (TECH) <well.rabbit@gmail.com>"
"Humane, Camel (HR) <humane.camel@maastrichtuniversity.nl>"
"Cool, Leech (TECH) <cool.leech@zuyd.nl>"
"Still, Perch (MOONSHOTS) <still.perch@gmail.com>"
"Meet, Owl (TECH) <meet.owl@gmail.com>"
"Unique, Mite (TECH) <unique.mite@gmail.com>"
"Sought, Camel (FINANCE) <sought.camel@zuyd.nl>"
"Ace, Hermit (TECH) <ace.hermit@gmail.com>"
"Good, Lion (FINANCE) <good.lion@hotmail.com>"
"New, Lab (FINANCE) <new.lab@gmail.com>"
"Honest, Egret (FINANCE) <honest.egret@maastrichtuniversity.nl>"
"Select, Akita (FINANCE) <select.akita@gmail.com>"
"Valued, Lizard (HR) <valued.lizard@gmail.com>"
"Awake, Iguana (TECH) <awake.iguana@yahoo.com>"
"Robust, Amoeba (TECH) <robust.amoeba@gmail.com>"
"Poetic, Civet (TECH) <poetic.civet@gmail.com>"
"Useful, Baboon (HR) <useful.baboon@hotmail.com>"
"Mighty, Alien (MOONSHOTS) <mighty.alien@gmail.com>"
"Just, Deer (MOONSHOTS) <just.deer@hotmail.com>"
"Apt, Mouse (TECH) <apt.mouse@hotmail.com>"
"Prime, Hippo (HR) <prime.hippo@maastrichtuniversity.nl>"
"Proud, Bison (TECH) <proud.bison@hotmail.com>"
"Heroic, Dog (FINANCE) <heroic.dog@zuyd.nl>"
"Alert, Elk (HR) <alert.elk@maastrichtuniversity.nl>"
"Moved, Coral (TECH) <moved.coral@gmail.com>"
"Eager, Ferret (HR) <eager.ferret@maastrichtuniversity.nl>"
"Steady, Python (FINANCE) <steady.python@gmail.com>"
"Amused, Lamb (FINANCE) <amused.lamb@gmail.com>"
"Cool, Wombat (TECH) <cool.wombat@maastrichtuniversity.nl>"
"Grown, Ray (MOONSHOTS) <grown.ray@hotmail.com>"
"Cool, Adder (HR) <cool.adder@gmail.com>"
"Aware, Crow (TECH) <aware.crow@yahoo.com>"
"Witty, Drum (HR) <witty.drum@maastrichtuniversity.nl>"
"Finer, Coyote (TECH) <finer.coyote@zuyd.nl>"
"Real, Swan (HR) <real.swan@hotmail.com>"
"Proven, Cattle (TECH) <proven.cattle@hotmail.com>"
"Civil, Slug (TECH) <civil.slug@maastrichtuniversity.nl>"
"Many, Doe (TECH) <many.doe@gmail.com>"
"Proper, Slug (HR) <proper.slug@gmail.com>"
"Large, Tomcat (HR) <large.tomcat@hotmail.com>"
"Up, Krill (FINANCE) <up.krill@hotmail.com>"
"Brief, Skink (HR) <brief.skink@hotmail.com>"
"Crisp, Leech (HR) <crisp.leech@maastrichtuniversity.nl>"
"Close, Locust (FINANCE) <close.locust@hotmail.com>"
"Proven, Yak (TECH) <proven.yak@yahoo.com>"
"Simple, Eel (FINANCE) <simple.eel@gmail.com>"
"Fleet, Hornet (MOONSHOTS) <fleet.hornet@gmail.com>"
"Exotic, Mole (TECH) <exotic.mole@gmail.com>"
"Tops, Bug (TECH) <tops.bug@hotmail.com>"
"Saved, Oriole (FINANCE) <saved.oriole@maastrichtuniversity.nl>"
"Brave, Cow (HR) <brave.cow@hotmail.com>"
"Nearby, Clam (HR) <nearby.clam@maastrichtuniversity.nl>"
"Epic, Turtle (HR) <epic.turtle@gmail.com>"
"Saved, Monkey (FINANCE) <saved.monkey@hotmail.com>"
"Tender, Boxer (HR) <tender.boxer@hotmail.com>"
"Wise, Collie (TECH) <wise.collie@gmail.com>"
"More, Salmon (MOONSHOTS) <more.salmon@hotmail.com>"
"Alert, Mammal (HR) <alert.mammal@zuyd.nl>"
"Neat, Drum (TECH) <neat.drum@gmail.com>"
"Holy, Crane (HR) <holy.crane@gmail.com>"
"Usable, Finch (HR) <usable.finch@yahoo.com>"
"United, Mayfly (HR) <united.mayfly@gmail.com>"
"Modest, Condor (TECH) <modest.condor@gmail.com>"
"Simple, Rodent (TECH) <simple.rodent@gmail.com>"
"Mint, Drake (TECH) <mint.drake@maastrichtuniversity.nl>"
"Smooth, Alien (HR) <smooth.alien@hotmail.com>"
"One, Pig (FINANCE) <one.pig@gmail.com>"
"Amused, Fox (FINANCE) <amused.fox@gmail.com>"
"Robust, Dove (MOONSHOTS) <robust.dove@gmail.com>"
"Robust, Lark (HR) <robust.lark@yahoo.com>"
"Large, Lion (HR) <large.lion@zuyd.nl>"
"Apt, Rodent (HR) <apt.rodent@gmail.com>"
"Pretty, Walrus (TECH) <pretty.walrus@hotmail.com>"
"Golden, Llama (HR) <golden.llama@yahoo.com>"
"Master, Tetra (FINANCE) <master.tetra@gmail.com>"
"Loyal, Maggot (FINANCE) <loyal.maggot@yahoo.com>"
"Ace, Coral (FINANCE) <ace.coral@zuyd.nl>"
"Humble, Pigeon (FINANCE) <humble.pigeon@gmail.com>"
"Rested, Rat (HR) <rested.rat@gmail.com>"
"Big, Racer (HR) <big.racer@gmail.com>"
"Known, Flea (HR) <known.flea@yahoo.com>"
"Top, Quagga (FINANCE) <top.quagga@zuyd.nl>"
"Ideal, Snipe (HR) <ideal.snipe@yahoo.com>"
"Rested, Mantis (HR) <rested.mantis@gmail.com>"
"Aware, Eagle (TECH) <aware.eagle@gmail.com>"
"Real, Beetle (HR) <real.beetle@hotmail.com>"
"Noble, Satyr (FINANCE) <noble.satyr@maastrichtuniversity.nl>"
"Saving, Lark (FINANCE) <saving.lark@maastrichtuniversity.nl>"
"Large, Fawn (MOONSHOTS) <large.fawn@gmail.com>"
"Great, Locust (HR) <great.locust@gmail.com>"
"Light, Akita (HR) <light.akita@maastrichtuniversity.nl>"
"Heroic, Asp (FINANCE) <heroic.asp@gmail.com>"
"Mighty, Cod (TECH) <mighty.cod@gmail.com>"
"Bright, Quagga (TECH) <bright.quagga@maastrichtuniversity.nl>"
"Mutual, Man (FINANCE) <mutual.man@gmail.com>"
"Meet, Amoeba (HR) <meet.amoeba@hotmail.com>"
"Tight, Jaguar (HR) <tight.jaguar@yahoo.com>"
"Fast, Bedbug (TECH) <fast.bedbug@hotmail.com>"
"Direct, Koala (HR) <direct.koala@hotmail.com>"
"Trusty, Bug (FINANCE) <trusty.bug@gmail.com>"
"Clever, Cow (HR) <clever.cow@hotmail.com>"
"Fresh, Locust (HR) <fresh.locust@hotmail.com>"
"Ruling, Teal (MOONSHOTS) <ruling.teal@hotmail.com>"
"Wise, Guppy (TECH) <wise.guppy@gmail.com>"
"Hot, Toucan (TECH) <hot.toucan@hotmail.com>"
"Safe, Gar (TECH) <safe.gar@hotmail.com>"
"Modern, Collie (HR) <modern.collie@zuyd.nl>"
"Poetic, Oryx (HR) <poetic.oryx@maastrichtuniversity.nl>"
"Comic, Tomcat (TECH) <comic.tomcat@hotmail.com>"
"Tops, Pup (HR) <tops.pup@gmail.com>"
"Noble, Osprey (TECH) <noble.osprey@yahoo.com>"
"Active, Bream (FINANCE) <active.bream@maastrichtuniversity.nl>"
"Legal, Eft (HR) <legal.eft@hotmail.com>"
"Loving, Grouse (HR) <loving.grouse@maastrichtuniversity.nl>"
"Many, Teal (MOONSHOTS) <many.teal@gmail.com>"
"Living, Wren (HR) <living.wren@zuyd.nl>"
"Modern, Doe (HR) <modern.doe@maastrichtuniversity.nl>"
"Fair, Eel (HR) <fair.eel@maastrichtuniversity.nl>"
"Golden, Raven (HR) <golden.raven@gmail.com>"
"Aware, Bison (HR) <aware.bison@hotmail.com>"
"Just, Tick (FINANCE) <just.tick@maastrichtuniversity.nl>"
"Alert, Dove (MOONSHOTS) <alert.dove@gmail.com>"
"Fun, Corgi (FINANCE) <fun.corgi@maastrichtuniversity.nl>"
"Secure, Colt (HR) <secure.colt@zuyd.nl>"
"Square, Koala (TECH) <square.koala@zuyd.nl>"
"Ruling, Sponge (FINANCE) <ruling.sponge@gmail.com>"
"Fleet, Crow (HR) <fleet.crow@maastrichtuniversity.nl>"
"Square, Slug (FINANCE) <square.slug@maastrichtuniversity.nl>"
"Mighty, Martin (TECH) <mighty.martin@hotmail.com>"
"Moved, Man (FINANCE) <moved.man@gmail.com>"
"Pure, Kitten (HR) <pure.kitten@gmail.com>"
"Wise, Gibbon (TECH) <wise.gibbon@maastrichtuniversity.nl>"
"Valid, Koala (TECH) <valid.koala@gmail.com>"
"Apt, Kiwi (HR) <apt.kiwi@hotmail.com>"
"Chief, Doe (TECH) <chief.doe@zuyd.nl>"
"Solid, Skunk (TECH) <solid.skunk@maastrichtuniversity.nl>"
"Legal, Wolf (FINANCE) <legal.wolf@hotmail.com>"
"Real, Fly (TECH) <real.fly@hotmail.com>"
"Tender, Cow (FINANCE) <tender.cow@yahoo.com>"
"Up, Doe (HR) <up.doe@gmail.com>"
"Set, Iguana (FINANCE) <set.iguana@gmail.com>"
"Master, Ram (HR) <master.ram@hotmail.com>"
"On, Shark (TECH) <on.shark@zuyd.nl>"
"Cosmic, Shrimp (FINANCE) <cosmic.shrimp@maastrichtuniversity.nl>"
"Upward, Newt (TECH) <upward.newt@gmail.com>"
"Above, Elk (TECH) <above.elk@gmail.com>"
"United, Moth (FINANCE) <united.moth@hotmail.com>"
"Clear, Stork (TECH) <clear.stork@gmail.com>"
"Tender, Mule (HR) <tender.mule@yahoo.com>"
"Proud, Dove (TECH) <proud.dove@hotmail.com>"
"Immune, Egret (TECH) <immune.egret@zuyd.nl>"
"Finer, Finch (TECH) <finer.finch@maastrichtuniversity.nl>"
"Golden, Yak (HR) <golden.yak@yahoo.com>"
"Rare, Hound (HR) <rare.hound@hotmail.com>"
"Loyal, Toad (HR) <loyal.toad@gmail.com>"
"Usable, Tiger (TECH) <usable.tiger@gmail.com>"
"Clear, Alien (HR) <clear.alien@yahoo.com>"
"One, Boar (HR) <one.boar@zuyd.nl>"
"Sought, Heron (HR) <sought.heron@gmail.com>"
"Great, Viper (TECH) <great.viper@gmail.com>"
"United, Crane (HR) <united.crane@gmail.com>"
"Light, Dory (MOONSHOTS) <light.dory@maastrichtuniversity.nl>"
"Main, Gnu (FINANCE) <main.gnu@zuyd.nl>"
"Vital, Gator (HR) <vital.gator@hotmail.com>"
"Vocal, Trout (FINANCE) <vocal.trout@gmail.com>"
"Tough, Magpie (FINANCE) <tough.magpie@gmail.com>"
"Choice, Bison (TECH) <choice.bison@gmail.com>"
"Eager, Dory (TECH) <eager.dory@hotmail.com>"
"Suited, Cod (FINANCE) <suited.cod@yahoo.com>"
"Ace, Ocelot (TECH) <ace.ocelot@maastrichtuniversity.nl>"
"Steady, Mink (FINANCE) <steady.mink@hotmail.com>"
"One, Cub (HR) <one.cub@maastrichtuniversity.nl>"
"Alert, Puma (TECH) <alert.puma@gmail.com>"
"Strong, Squid (TECH) <strong.squid@gmail.com>"
"Merry, Shiner (TECH) <merry.shiner@maastrichtuniversity.nl>"
"Living, Shark (TECH) <living.shark@hotmail.com>"
"Strong, Sloth (FINANCE) <strong.sloth@gmail.com>"
"Proud, Python (HR) <proud.python@maastrichtuniversity.nl>"
"Suited, Drake (HR) <suited.drake@maastrichtuniversity.nl>"
"Many, Gopher (MOONSHOTS) <many.gopher@maastrichtuniversity.nl>"
"True, Civet (HR) <true.civet@maastrichtuniversity.nl>"
"In, Alien (HR) <in.alien@gmail.com>"
"Decent, Cat (TECH) <decent.cat@hotmail.com>"
"Golden, Walrus (FINANCE) <golden.walrus@maastrichtuniversity.nl>"
"New, Imp (HR) <new.imp@maastrichtuniversity.nl>"
"Safe, Hermit (HR) <safe.hermit@gmail.com>"
"Actual, Mite (TECH) <actual.mite@zuyd.nl>"
"Saved, Sawfly (FINANCE) <saved.sawfly@hotmail.com>"
"Pure, Mantis (FINANCE) <pure.mantis@yahoo.com>"
"Modest, Lark (HR) <modest.lark@hotmail.com>"
"Mature, Tiger (TECH) <mature.tiger@hotmail.com>"
"Bold, Dingo (HR) <bold.dingo@gmail.com>"
"Wise, Rabbit (FINANCE) <wise.rabbit@zuyd.nl>"
"Sweet, Elk (MOONSHOTS) <sweet.elk@maastrichtuniversity.nl>"
"Polite, Molly (HR) <polite.molly@maastrichtuniversity.nl>"
"Saved, Dory (TECH) <saved.dory@maastrichtuniversity.nl>"
"Awake, Viper (TECH) <awake.viper@zuyd.nl>"
"Aware, Lynx (TECH) <aware.lynx@hotmail.com>"
"Valid, Hermit (TECH) <valid.hermit@maastrichtuniversity.nl>"
"In, Squid (FINANCE) <in.squid@zuyd.nl>"
